,0,1
pcm_fftMag_mfcc_sma[3]_skewness,-0.02151033036788575,0.008468079940527949
pcm_fftMag_mfcc_sma[3]_kurtosis,0.029750524499706495,-0.0037773233857607276
pcm_fftMag_mfcc_sma[3]_quartile1,0.019545048161141058,-0.02840061337064799
pcm_fftMag_mfcc_sma[3]_quartile2,0.003739736150513997,-0.029015585641831154
pcm_fftMag_mfcc_sma[3]_quartile3,-0.012012151949938337,-0.025279162419421096
pcm_fftMag_mfcc_sma[3]_iqr1-2,-0.0395751465970714,-0.0006168736165082179
pcm_fftMag_mfcc_sma[3]_iqr2-3,-0.03345381644722544,0.0060147491270300035
pcm_fftMag_mfcc_sma[3]_iqr1-3,-0.03612577864552365,0.0029807298417748357
pcm_fftMag_mfcc_sma[3]_percentile1.0,0.03185129906717687,-0.011517744111615649
pcm_fftMag_mfcc_sma[3]_percentile99.0,-0.03160637636629424,-0.013663048118143608
pcm_fftMag_mfcc_sma[3]_pctlrange0-1,-0.0414908501891833,0.0012855869848795046
pcm_fftMag_mfcc_sma[3]_upleveltime75,0.024638284120546892,-0.009570907163445538
pcm_fftMag_mfcc_sma[3]_upleveltime90,0.027780559474000814,-0.008056945175574603
pcm_fftMag_mfcc_sma[4]_maxPos,-0.02165103336181159,-0.01727911562590236
pcm_fftMag_mfcc_sma[4]_minPos,0.010947334642936372,-0.010158330649432883
pcm_fftMag_mfcc_sma[4]_amean,0.023755292310695925,-0.02603894867527453
pcm_fftMag_mfcc_sma[4]_linregc1,-0.01334936449585451,0.01218739163618485
pcm_fftMag_mfcc_sma[4]_linregc2,0.01645570434122208,-0.030094549183871482
pcm_fftMag_mfcc_sma[4]_linregerrA,-0.04194118288664684,0.0012905064312459969
pcm_fftMag_mfcc_sma[4]_linregerrQ,-0.04027043465065296,0.005101588972347538
pcm_fftMag_mfcc_sma[4]_stddev,-0.043795163072784006,0.004921913955593277
pcm_fftMag_mfcc_sma[4]_skewness,-0.02491309776188834,0.002621704320968012
pcm_fftMag_mfcc_sma[4]_kurtosis,0.03133408492015497,-0.0006316072149174538
pcm_fftMag_mfcc_sma[4]_quartile1,0.030526850340773234,-0.01570116481005292
pcm_fftMag_mfcc_sma[4]_quartile2,0.022833118304115885,-0.02799041936849094
pcm_fftMag_mfcc_sma[4]_quartile3,-8.488383018021225e-05,-0.026583896406258713
pcm_fftMag_mfcc_sma[4]_iqr1-2,-0.03162759064503033,-0.0052808537446086025
pcm_fftMag_mfcc_sma[4]_iqr2-3,-0.04009778068345044,0.00037633110237026253
pcm_fftMag_mfcc_sma[4]_iqr1-3,-0.03889574779485345,-0.0030699234183832894
pcm_fftMag_mfcc_sma[4]_percentile1.0,0.03536785080098393,-0.019327360268788358
pcm_fftMag_mfcc_sma[4]_percentile99.0,-0.0244733104376264,-0.004876479244601278
